player_registry_id,cricsheet_player_id,canonical_name,current_player_role,current_batting_style,current_bowling_style,current_bowling_type_group,batting_hand,bowling_arm,bowling_style,bowling_type_group,player_role,confidence,notes
27929,pulse:5608,Akeal Hosein,bowler,"","","","","","","",bowler,1.0,""
27920,pulse:20581,Aman Khan,all_rounder,"","","","","","","",all_rounder,1.0,""
27925,pulse:20702,Anshul Kamboj,bowler,"","","","","","","",bowler,1.0,""
27912,pulse:22377,Ayush Mhatre,batter,"","","","","","","",batter,1.0,""
27911,pulse:20593,Dewald Brevis,batter,"","","","","","","",batter,1.0,""
27928,pulse:22032,Gurjapneet Singh,bowler,"","","","","","","",bowler,1.0,""
27916,pulse:22109,Jamie Overton,all_rounder,"","","","","","","",all_rounder,1.0,""
27913,pulse:23012,Kartik Sharma,batter,"","","","","","","",batter,1.0,""
27923,pulse:2964,Khaleel Ahmed,bowler,"","","","","","","",bowler,1.0,""
27930,pulse:1505,Matt Henry,bowler,"","","","","","","",bowler,1.0,""
27919,pulse:2032,Matthew William Short,all_rounder,"","","","","","","",all_rounder,1.0,""
27909,pulse:1,MS Dhoni,batter,"","","","","","","",batter,1.0,""
27926,pulse:20575,Mukesh Choudhary,bowler,"","","","","","","",bowler,1.0,""
27924,pulse:20590,Noor Ahmad,bowler,"","","","","","","",bowler,1.0,""
27918,pulse:23008,Prashant Veer,all_rounder,"","","","","","","",all_rounder,1.0,""
27931,pulse:3763,Rahul Chahar,bowler,"","","","","","","",bowler,1.0,""
27917,pulse:22153,Ramakrishna Ghosh,all_rounder,"","","","","","","",all_rounder,1.0,""
27908,pulse:5443,Ruturaj Gaikwad,batter,"","","","","","","",batter,1.0,""
27910,pulse:258,Sanju Samson,batter,"","","","","","","",batter,1.0,""
27914,pulse:1564,Sarfaraz Khan,batter,"","","","","","","",batter,1.0,""
27922,pulse:5431,Shivam Dube,all_rounder,"","","","","","","",all_rounder,1.0,""
27927,pulse:20696,Shreyas Gopal,bowler,"","","","","","","",bowler,1.0,""
27932,pulse:20699,Spencer Johnson,bowler,"","","","","","","",bowler,1.0,""
27915,pulse:5653,Urvil Patel,batter,"","","","","","","",batter,1.0,""
27921,pulse:23022,Zak Foulkes,all_rounder,"","","","","","","",all_rounder,1.0,""
27940,pulse:33333,Abishek Porel,batter,"","","","","","","",batter,1.0,""
27946,pulse:5811,Ajay Mandal,all_rounder,"","","","","","","",all_rounder,1.0,""
27944,pulse:20703,Ashutosh Sharma,all_rounder,"","","","","","","",all_rounder,1.0,""
27954,pulse:23005,Auqib Nabi,bowler,"","","","","","","",bowler,1.0,""
27942,pulse:1113,Axar Patel,all_rounder,"","","","","","","",all_rounder,1.0,""
27936,pulse:23001,Ben Duckett,batter,"","","","","","","",batter,1.0,""
27935,pulse:187,David Miller,batter,"","","","","","","",batter,1.0,""
27953,pulse:817,Dushmantha Chameera,bowler,"","","","","","","",bowler,1.0,""
27934,pulse:276,Karun Nair,batter,"","","","","","","",batter,1.0,""
27933,pulse:1125,KL Rahul,batter,"","","","","","","",batter,1.0,""
27957,pulse:261,Kuldeep Yadav,bowler,"","","","","","","",bowler,1.0,""
27956,pulse:1616,Kyle Jamieson,bowler,"","","","","","","",bowler,1.0,""
27955,pulse:3746,Lungisani Ngidi,bowler,"","","","","","","",bowler,1.0,""
27948,pulse:22259,Madhav Tiwari,all_rounder,"","","","","","","",all_rounder,1.0,""
27950,pulse:490,Mitchell Starc,bowler,"","","","","","","",bowler,1.0,""
27952,pulse:5622,Mukesh Kumar,bowler,"","","","","","","",bowler,1.0,""
27949,pulse:2738,Nitish Rana,all_rounder,"","","","","","","",all_rounder,1.0,""
27937,pulse:23020,Pathum Nissanka,batter,"","","","","","","",batter,1.0,""
27939,pulse:3764,Prithvi Shaw,batter,"","","","","","","",batter,1.0,""
27938,pulse:23063,Sahil Parakh,batter,"","","","","","","",batter,1.0,""
27943,pulse:20689,Sameer Rizvi,all_rounder,"","","","","","","",all_rounder,1.0,""
27951,pulse:3831,T. Natarajan,bowler,"","","","","","","",bowler,1.0,""
27947,pulse:22252,Tripurana Vijay,all_rounder,"","","","","","","",all_rounder,1.0,""
27941,pulse:20631,Tristan Stubbs,batter,"","","","","","","",batter,1.0,""
27945,pulse:22053,Vipraj Nigam,all_rounder,"","","","","","","",all_rounder,1.0,""
27961,pulse:10788,Anuj Rawat,batter,"","","","","","","",batter,1.0,""
27979,pulse:20584,Ashok Sharma,bowler,"","","","","","","",bowler,1.0,""
27963,pulse:3027,Glenn Phillips,batter,"","","","","","","",batter,1.0,""
27977,pulse:1094,Gurnoor Singh Brar,bowler,"","","","","","","",bowler,1.0,""
